epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.4299,2.47687,3.56467,2.8473,1.7812,0.00024,0.0625,0.00013,3e-05,0,0,0,0,4.30878,inf,inf,51.8649,0.0703797,0.00329114,0.00329114
2,19.8545,2.44015,3.51256,2.49896,1.83414,0.0179,0.04583,0.00515,0.00122,0.05152,0.025,0.0081,0.00102,3.24277,4.60126,4.90531,3.81681,0.0402486,0.00649331,0.00649331
3,28.6556,2.54895,3.47493,2.60985,1.92878,0.01578,0.00833,0.00111,0.00032,0.00011,0.02917,6e-05,1e-05,3.34433,5.64759,4.67887,2.51075,0.00998542,0.00956348,0.00956348
4,37.4152,2.45208,3.24031,2.47892,1.91842,0.53162,0.0375,0.04294,0.01392,0.05366,0.06667,0.0285,0.00639,3.08639,4.31375,3.5452,2.79837,0.009406,0.009406,0.009406
5,46.3144,2.45197,3.20806,2.42949,1.90534,0.01662,0.175,0.00693,0.00245,0.00991,0.12083,0.00382,0.00097,2.61807,4.732,29.5869,5.74706,0.009208,0.009208,0.009208
6,55.0892,2.52822,3.01141,2.39427,1.99019,0.31689,0.06667,0.04646,0.01301,0.21178,0.04583,0.02889,0.0078,2.86946,4.23898,6.85292,9.03074,0.00901,0.00901,0.00901
7,63.9676,2.35799,2.93828,2.23155,1.886,0.22641,0.35365,0.18898,0.0535,0.21556,0.3625,0.18579,0.04494,2.3233,4.61599,2.5462,1.90447,0.008812,0.008812,0.008812
8,73.1754,2.30983,2.94096,2.19445,1.87295,0.29239,0.29167,0.16586,0.05405,0.318,0.31667,0.20103,0.05308,2.3449,3.21908,4.82867,2.01603,0.008614,0.008614,0.008614
9,82.2322,2.32585,2.916,2.16244,1.88542,0.11444,0.05833,0.01795,0.00489,0.07546,0.05833,0.00699,0.0013,3.09297,3.99894,6.91921,3.26539,0.008416,0.008416,0.008416
10,91.338,2.33161,2.9127,2.19638,1.86377,0.25815,0.21024,0.13429,0.03899,0.31525,0.19583,0.14649,0.0376,2.50055,3.06944,2.71039,2.05484,0.008218,0.008218,0.008218
11,100.376,2.25473,2.73326,2.12657,1.85445,0.22602,0.27083,0.12184,0.03533,0.21197,0.23333,0.106,0.02315,2.39871,3.06913,2.49007,2.02018,0.00802,0.00802,0.00802
12,109.46,2.26902,2.80007,2.06874,1.86911,0.28538,0.425,0.23556,0.08095,0.33721,0.32083,0.23113,0.05771,2.32853,2.86018,2.54649,1.94525,0.007822,0.007822,0.007822
13,118.718,2.20831,2.69073,1.97666,1.78059,0.25601,0.35,0.18895,0.06427,0.24229,0.31667,0.18759,0.04835,2.36959,2.69754,2.18398,1.9579,0.007624,0.007624,0.007624
14,127.593,2.06158,2.5163,1.90584,1.71077,0.26777,0.24583,0.15037,0.04839,0.28259,0.1875,0.12661,0.03249,2.23637,2.69082,2.5923,1.87047,0.007426,0.007426,0.007426
15,136.254,2.15196,2.6807,1.94284,1.73758,0.38045,0.22917,0.18509,0.05672,0.36897,0.125,0.08942,0.02206,2.49904,3.90127,3.1642,2.08778,0.007228,0.007228,0.007228
16,145.205,2.05327,2.53184,1.82963,1.69667,0.37339,0.44167,0.32854,0.11928,0.42032,0.37463,0.34952,0.09386,2.07051,2.30388,1.83211,1.70424,0.00703,0.00703,0.00703
17,154.248,2.02655,2.51599,1.84047,1.6713,0.39516,0.37917,0.31526,0.1097,0.38737,0.35304,0.30535,0.08929,2.09925,2.37851,2.30269,1.7631,0.006832,0.006832,0.006832
18,163.213,2.03665,2.42726,1.78276,1.64208,0.37664,0.39583,0.32118,0.11082,0.42629,0.40833,0.32614,0.08751,2.287,2.4052,1.95112,1.87276,0.006634,0.006634,0.006634
19,172.102,2.02822,2.50462,1.78789,1.63214,0.46787,0.4375,0.42623,0.14471,0.4482,0.425,0.39094,0.11966,2.1088,2.03284,1.86827,1.72686,0.006436,0.006436,0.006436
20,181.363,2.01725,2.40611,1.73437,1.65403,0.45492,0.4875,0.42282,0.16692,0.47923,0.46667,0.40703,0.12199,1.93758,2.11745,1.68524,1.65083,0.006238,0.006238,0.006238
21,190.498,2.00263,2.43031,1.73808,1.59159,0.31879,0.38333,0.26728,0.08896,0.27891,0.30833,0.23306,0.0577,2.34315,2.74429,2.26357,1.89497,0.00604,0.00604,0.00604
22,199.784,2.04154,2.39623,1.78194,1.62105,0.32518,0.43333,0.33687,0.12261,0.47053,0.29583,0.33238,0.09929,1.9963,2.26195,1.79408,1.71336,0.005842,0.005842,0.005842
23,209.14,1.93252,2.30713,1.69334,1.58845,0.38428,0.50417,0.43293,0.17794,0.41882,0.4875,0.43155,0.14197,1.91182,2.13077,1.66444,1.63187,0.005644,0.005644,0.005644
24,217.773,1.9501,2.30333,1.69339,1.60112,0.50502,0.48333,0.48729,0.18776,0.63292,0.5,0.53458,0.15619,1.96083,1.91489,1.56915,1.65747,0.005446,0.005446,0.005446
25,226.401,1.88792,2.3439,1.663,1.56109,0.51904,0.27083,0.33566,0.12135,0.52626,0.28333,0.29873,0.0813,2.11385,2.34015,1.92925,1.76048,0.005248,0.005248,0.005248
26,235.11,1.88993,2.27818,1.6489,1.59288,0.41741,0.5625,0.46087,0.18435,0.41084,0.55833,0.44419,0.14206,1.95299,2.00026,1.76778,1.68065,0.00505,0.00505,0.00505
27,243.936,1.92387,2.32752,1.6556,1.58037,0.48427,0.54583,0.46632,0.1931,0.562,0.53463,0.50187,0.16496,1.91067,1.9353,1.67003,1.63028,0.004852,0.004852,0.004852
28,252.641,1.87561,2.34008,1.67744,1.58277,0.51146,0.42917,0.50178,0.19386,0.49258,0.4625,0.51605,0.17662,1.86156,3.64308,1.59401,1.59756,0.004654,0.004654,0.004654
29,261.402,1.91865,2.31775,1.63958,1.56057,0.38469,0.38333,0.29158,0.10265,0.31642,0.39167,0.24044,0.06311,2.09029,2.33578,2.23331,1.72704,0.004456,0.004456,0.004456
30,270.388,1.81783,2.25015,1.56339,1.52361,0.55558,0.49583,0.49323,0.20704,0.52332,0.45833,0.47153,0.14752,1.74491,2.01159,1.63748,1.53601,0.004258,0.004258,0.004258
31,279.056,1.8437,2.36473,1.59818,1.53834,0.47141,0.4875,0.41786,0.16285,0.47062,0.47917,0.41372,0.13355,1.95351,2.10008,1.75569,1.67774,0.00406,0.00406,0.00406
32,287.779,1.86842,2.33788,1.59876,1.54672,0.49058,0.55,0.5259,0.22802,0.51245,0.53333,0.53713,0.18691,1.85668,1.97083,1.57628,1.58891,0.003862,0.003862,0.003862
33,296.439,1.7942,2.23673,1.5433,1.48993,0.59531,0.44167,0.48765,0.20104,0.57064,0.42083,0.46257,0.15839,1.87128,2.00708,1.61226,1.61057,0.003664,0.003664,0.003664
34,305.547,1.80551,2.2649,1.48356,1.51983,0.52404,0.53333,0.53111,0.20594,0.59658,0.52917,0.56345,0.18381,1.79554,1.93531,1.44567,1.57179,0.003466,0.003466,0.003466
35,314.699,1.80675,2.1423,1.47247,1.52114,0.48781,0.46431,0.46636,0.18975,0.41329,0.49167,0.4342,0.13384,2.00399,2.07982,1.68867,1.7012,0.003268,0.003268,0.003268
36,323.635,1.798,2.22893,1.47605,1.52531,0.71986,0.47917,0.59411,0.26244,0.67296,0.47083,0.57582,0.21736,1.74535,1.92208,1.44563,1.51044,0.00307,0.00307,0.00307
37,332.809,1.83716,2.28857,1.56318,1.54951,0.57701,0.62917,0.56802,0.22194,0.63156,0.58566,0.60703,0.21852,1.88045,1.92587,1.55753,1.58044,0.002872,0.002872,0.002872
38,342.102,1.76731,2.21729,1.51531,1.4877,0.55429,0.61663,0.54254,0.23715,0.60362,0.60914,0.58323,0.19775,1.68502,1.79441,1.44329,1.49543,0.002674,0.002674,0.002674
39,351.268,1.71386,2.08983,1.40122,1.44551,0.53211,0.54583,0.4988,0.22756,0.53613,0.5125,0.47934,0.16393,1.77671,2.06844,1.58978,1.53442,0.002476,0.002476,0.002476
40,360.386,1.68684,2.12494,1.41614,1.44057,0.6424,0.62917,0.64946,0.29381,0.7025,0.625,0.67341,0.26273,1.71346,1.75811,1.33924,1.48473,0.002278,0.002278,0.002278
41,384.894,1.78415,2.0287,1.55311,1.64877,0.61878,0.54167,0.63029,0.29714,0.62768,0.53333,0.6124,0.23239,1.70294,1.85685,1.44718,1.4891,0.00208,0.00208,0.00208
42,393.459,1.72769,1.9708,1.57124,1.60911,0.64169,0.59167,0.57487,0.25739,0.69941,0.572,0.59618,0.21852,1.74795,1.88573,1.46869,1.52172,0.001882,0.001882,0.001882
43,402.516,1.74552,1.98463,1.48989,1.63842,0.54427,0.60417,0.56226,0.24171,0.58296,0.6375,0.59616,0.21072,1.63108,1.80788,1.40231,1.48704,0.001684,0.001684,0.001684
44,411.925,1.70068,1.99911,1.4578,1.61148,0.60504,0.59167,0.61917,0.29874,0.62314,0.59583,0.6406,0.25345,1.65668,1.73762,1.32601,1.50434,0.001486,0.001486,0.001486
45,421.074,1.69941,1.9377,1.39795,1.59292,0.70733,0.65455,0.6572,0.32093,0.71159,0.64583,0.68849,0.2749,1.58893,1.73579,1.29054,1.46227,0.001288,0.001288,0.001288
46,429.737,1.63739,1.91186,1.3884,1.56494,0.65332,0.56667,0.64427,0.30314,0.67331,0.55,0.62118,0.24372,1.65357,1.8456,1.29837,1.43684,0.00109,0.00109,0.00109
47,438.25,1.64514,1.84194,1.3619,1.58223,0.61924,0.60833,0.65977,0.31065,0.62266,0.61667,0.65507,0.25816,1.69946,1.83237,1.37734,1.52189,0.000892,0.000892,0.000892
48,446.838,1.64237,1.90923,1.36863,1.55771,0.71815,0.625,0.71538,0.36325,0.75473,0.62083,0.7066,0.29318,1.59298,1.76263,1.24512,1.44371,0.000694,0.000694,0.000694
49,455.745,1.60819,1.88669,1.31818,1.54243,0.78809,0.6375,0.72212,0.36498,0.79005,0.64583,0.73231,0.30689,1.56246,1.68925,1.20118,1.42052,0.000496,0.000496,0.000496
50,464.486,1.59479,1.88175,1.31361,1.5298,0.78111,0.60964,0.70182,0.37135,0.79934,0.63333,0.72842,0.31247,1.56808,1.68464,1.19438,1.42536,0.000298,0.000298,0.000298
